tau_sat,b,tau_0,gamma_0,n,cd,beta,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20
1.0,0.1,250.0,3.333e-05,1.0,1000.0,5.0,1.0,2.644e-15,1257.6,1268.6,1268.5,1268.6,1268.5,1268.1,1266.8,1263.7,1256.7,1241.7,1212.7,1162.3,1087.5,995.33,897.8,802.76,711.14,617.59,518.39
1.0,0.1,250.0,3.333e-05,2.0,200.0,5.0,0.19,-6.1692e-15,859.27,996.89,1020.0,1024.5,1025.8,1026.4,1026.8,1027.0,1026.7,1025.5,1022.7,1017.0,1006.4,987.85,958.5,917.14,866.91,814.67,768.31
1.0,0.1,250.0,3.333e-05,2.0,400.0,5.0,0.49,7.2385e-15,1015.0,1026.0,1027.4,1028.7,1029.9,1030.7,1030.7,1028.8,1022.8,1008.7,980.92,935.03,873.63,806.29,740.4,675.32,600.06,515.36,437.06
1.0,0.1,250.0,3.333e-05,2.0,600.0,5.0,0.72,4.3408e-15,1021.0,1027.5,1029.2,1031.2,1033.0,1034.4,1035.1,1034.0,1029.3,1017.6,993.99,954.0,898.12,833.49,767.79,703.32,636.43,565.25,498.8
1.0,0.1,250.0,3.333e-05,2.0,800.0,5.0,0.945,-4.0163e-14,1017.5,1028.7,1031.1,1033.6,1036.0,1038.0,1039.4,1039.1,1035.7,1026.1,1006.3,971.73,921.33,859.91,794.78,729.89,664.75,599.42,542.0
1.0,0.1,250.0,3.333e-05,2.0,1000.0,5.0,1.0,-2.644e-15,1017.9,1029.1,1031.6,1034.2,1036.8,1039.3,1041.5,1043.2,1043.9,1043.0,1039.0,1030.2,1014.0,987.65,949.94,902.31,848.63,792.69,736.47
1.0,0.1,250.0,3.333e-05,3.0,200.0,5.0,0.205,-1.1457e-14,862.42,934.26,941.35,942.7,943.37,943.87,944.23,944.31,943.81,942.18,938.43,930.95,917.32,894.77,861.76,820.05,774.39,728.99,685.99
1.0,0.1,250.0,3.333e-05,3.0,400.0,5.0,0.495,7.9319e-15,934.43,943.39,944.69,946.03,947.29,948.34,948.79,947.91,944.26,935.19,916.84,885.4,840.63,787.59,732.38,677.43,619.52,554.46,492.6
1.0,0.1,250.0,3.333e-05,3.0,600.0,5.0,0.725,1.0852e-14,938.76,944.89,946.6,948.62,950.59,952.34,953.58,953.73,951.65,945.44,932.1,908.09,871.42,824.09,770.99,715.96,660.29,606.1,558.12
1.0,0.1,250.0,3.333e-05,3.0,800.0,5.0,0.96,-2.8813e-14,935.4,946.23,948.6,951.32,953.95,956.37,958.27,959.16,958.13,953.67,943.37,924.13,893.29,850.86,799.97,744.43,687.41,633.62,586.89
1.0,0.1,250.0,3.333e-05,3.0,1000.0,5.0,1.0,-1.9389e-14,934.94,946.32,948.95,951.8,954.63,957.34,959.86,962.06,963.7,964.45,963.79,960.95,954.78,943.74,926.05,900.32,866.23,824.87,778.17
1.0,0.1,250.0,3.333e-05,4.0,200.0,5.0,0.215,-1.1457e-14,851.37,894.63,897.99,898.85,899.43,899.91,900.25,900.29,899.67,897.79,893.54,885.15,870.16,846.18,812.71,772.44,729.35,686.56,642.27
1.0,0.1,250.0,3.333e-05,4.0,400.0,5.0,0.485,-4.3431e-14,896.92,899.33,900.49,901.81,903.12,904.32,905.17,905.2,903.54,898.6,887.88,868.17,837.21,795.95,748.43,698.45,647.32,594.38,541.16
1.0,0.1,250.0,3.333e-05,4.0,600.0,5.0,0.73,1.9534e-14,895.09,900.83,902.54,904.69,906.85,908.89,910.56,911.44,910.73,907.11,898.49,882.0,855.04,817.27,771.27,720.4,667.37,616.29,573.22
1.0,0.1,250.0,3.333e-05,4.0,800.0,5.0,0.965,-3.8417e-14,891.7,902.16,904.64,907.6,910.56,913.37,915.8,917.49,917.89,916.02,910.36,898.65,878.24,847.26,805.92,756.27,701.69,648.21,602.4
1.0,0.1,250.0,3.333e-05,4.0,1000.0,5.0,1.0,-3.2609e-14,890.98,902.21,904.96,908.05,911.2,914.26,917.17,919.82,922.07,923.74,924.54,924.02,921.54,916.13,906.46,890.94,868.01,836.87,797.78
1.0,0.1,250.0,3.333e-05,5.0,200.0,5.0,0.215,-1.2338e-14,835.92,868.44,870.88,871.63,872.18,872.66,873.04,873.17,872.79,871.4,868.13,861.58,849.71,830.34,802.34,767.03,727.46,686.51,645.81
1.0,0.1,250.0,3.333e-05,5.0,400.0,5.0,0.45,-5.0243e-14,866.13,871.83,872.93,874.17,875.47,876.77,877.94,878.76,878.84,877.51,873.65,865.56,851.02,828.02,796.1,757.07,713.68,668.03,621.01
1.0,0.1,250.0,3.333e-05,5.0,600.0,5.0,0.74,-1.7363e-15,869.01,873.6,875.42,877.78,880.2,882.52,884.55,885.87,885.89,883.51,877.01,863.92,841.52,808.54,766.23,717.09,664.05,612.62,571.15
1.0,0.1,250.0,3.333e-05,5.0,800.0,5.0,0.99,7.858e-15,867.07,875.05,877.83,881.18,884.52,887.71,890.52,892.67,893.67,892.69,888.37,878.68,861.01,832.97,793.77,744.59,688.83,634.49,588.62
1.0,0.1,250.0,3.333e-05,5.0,1000.0,5.0,1.0,-3.8778e-14,863.86,874.97,877.94,881.33,884.78,888.15,891.37,894.37,897.07,899.32,900.89,901.47,900.61,897.64,891.5,880.79,863.81,839.04,805.74
1.0,0.1,350.0,3.333e-05,1.0,200.0,5.0,0.105,-1.0576e-14,678.68,1081.6,1330.7,1487.8,1588.7,1653.9,1696.1,1723.7,1741.6,1753.1,1760.4,1764.5,1766.0,1764.8,1760.2,1750.4,1732.5,1701.8,1653.2
1.0,0.1,350.0,3.333e-05,1.0,400.0,5.0,0.21,-7.0506e-15,1081.6,1487.8,1653.9,1723.7,1753.5,1766.2,1771.5,1773.7,1774.4,1774.1,1772.9,1770.1,1765.0,1755.9,1740.2,1713.9,1672.4,1611.0,1531.6
1.0,0.1,350.0,3.333e-05,1.0,600.0,5.0,0.33,-1.322e-14,1358.4,1668.0,1747.4,1768.2,1773.7,1775.2,1775.4,1775.2,1774.5,1772.9,1769.7,1763.8,1753.1,1734.2,1702.5,1652.8,1581.4,1490.2,1393.0
1.0,0.1,350.0,3.333e-05,1.0,800.0,5.0,0.47,-1.1071e-14,1541.3,1741.1,1770.5,1775.0,1775.5,1775.6,1775.5,1774.8,1773.2,1770.0,1763.6,1751.4,1729.3,1691.9,1632.8,1549.1,1445.8,1335.2,1231.0
1.0,0.1,350.0,3.333e-05,1.0,1000.0,5.0,0.63,4.5144e-14,1652.8,1766.4,1775.0,1775.7,1775.7,1775.6,1775.0,1773.8,1770.7,1764.4,1751.9,1728.1,1686.5,1619.8,1525.7,1411.7,1291.4,1173.6,1057.7
1.0,0.1,350.0,3.333e-05,2.0,200.0,5.0,0.115,-2.2914e-14,821.08,1177.6,1325.3,1387.4,1414.0,1425.7,1431.2,1433.8,1435.1,1435.7,1435.6,1434.8,1432.8,1429.0,1422.1,1410.1,1390.5,1360.0,1315.5
1.0,0.1,350.0,3.333e-05,2.0,400.0,5.0,0.28,-1.7626e-14,1257.8,1411.6,1432.2,1436.2,1437.6,1438.6,1439.4,1439.8,1439.4,1437.5,1432.7,1422.6,1403.6,1371.1,1321.3,1255.0,1180.1,1106.5,1038.5
1.0,0.1,350.0,3.333e-05,2.0,600.0,5.0,0.5,-2.8202e-14,1397.3,1435.1,1438.0,1440.0,1441.7,1443.1,1443.8,1442.9,1438.2,1426.4,1401.6,1356.4,1287.7,1201.9,1112.1,1025.2,932.99,817.12,703.72
1.0,0.1,350.0,3.333e-05,2.0,800.0,5.0,0.67,-9.9838e-14,1419.2,1437.5,1440.1,1442.5,1444.8,1446.8,1447.9,1447.2,1442.5,1430.1,1403.9,1357.1,1287.2,1201.3,1110.9,1022.2,930.13,824.88,719.39
1.0,0.1,350.0,3.333e-05,2.0,1000.0,5.0,0.855,7.0506e-15,1427.6,1439.0,1442.1,1445.2,1448.2,1450.8,1452.2,1451.5,1446.0,1431.4,1401.3,1349.0,1273.9,1184.7,1092.3,1000.5,904.44,807.45,718.07
1.0,0.1,350.0,3.333e-05,3.0,200.0,5.0,0.125,-5.2879e-15,904.14,1195.5,1280.1,1305.8,1314.4,1317.6,1319.1,1319.8,1320.2,1320.1,1319.5,1317.7,1314.2,1307.7,1296.3,1277.5,1248.1,1206.5,1154.2
1.0,0.1,350.0,3.333e-05,3.0,400.0,5.0,0.3,-2.027e-14,1241.7,1313.2,1319.3,1321.0,1322.2,1323.2,1324.1,1324.4,1323.7,1321.3,1315.3,1303.2,1281.2,1245.5,1194.7,1133.1,1067.4,1003.0,940.43
1.0,0.1,350.0,3.333e-05,3.0,600.0,5.0,0.525,-3.1728e-14,1306.4,1320.3,1322.5,1324.5,1326.4,1328.0,1329.0,1328.3,1324.2,1313.7,1291.6,1252.2,1193.8,1121.9,1045.3,968.29,885.88,793.85,706.57
