tau_sat,b,tau_0,gamma_0,n,cd,beta,phi,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
1.0,0.1,50.0,3.333e-05,4.0,200.0,5.0,3,2.129,2.0928,2.0649,2.0443,2.0305,2.0229,2.0219,2.0285,2.0452,2.0756
1.0,0.1,50.0,3.333e-05,4.0,400.0,5.0,1,5.9669,5.8922,5.8228,5.7647,5.7197,5.6861,5.6611,5.6416,5.6263,5.6166
1.0,0.1,50.0,3.333e-05,4.0,400.0,5.0,2,2.0529,2.0478,2.0411,2.0345,2.029,2.0248,2.0219,2.02,2.0188,2.0183
1.0,0.1,50.0,3.333e-05,4.0,400.0,5.0,3,2.1285,2.093,2.0647,2.0441,2.0301,2.0213,2.0158,2.012,2.0095,2.0091
1.0,0.1,50.0,3.333e-05,4.0,600.0,5.0,1,5.9669,5.8922,5.8228,5.7647,5.7197,5.6861,5.661,5.6413,5.6256,5.6153
1.0,0.1,50.0,3.333e-05,4.0,600.0,5.0,2,2.0529,2.0478,2.0411,2.0345,2.029,2.0248,2.0219,2.0199,2.0186,2.0179
1.0,0.1,50.0,3.333e-05,4.0,600.0,5.0,3,2.1285,2.093,2.0647,2.0441,2.0301,2.0213,2.0157,2.0119,2.0092,2.0086
1.0,0.1,50.0,3.333e-05,4.0,800.0,5.0,1,5.9669,5.8922,5.8228,5.7647,5.7196,5.6861,5.661,5.6413,5.6256,5.6153
1.0,0.1,50.0,3.333e-05,4.0,800.0,5.0,2,2.0529,2.0478,2.0411,2.0345,2.029,2.0248,2.0219,2.0199,2.0185,2.0178
1.0,0.1,50.0,3.333e-05,4.0,800.0,5.0,3,2.1285,2.093,2.0647,2.0441,2.0301,2.0213,2.0157,2.0119,2.0092,2.0085
1.0,0.1,50.0,3.333e-05,4.0,1000.0,5.0,1,5.9669,5.8922,5.8228,5.7647,5.7196,5.6861,5.661,5.6413,5.6256,5.6153
1.0,0.1,50.0,3.333e-05,4.0,1000.0,5.0,2,2.0529,2.0478,2.0411,2.0345,2.029,2.0248,2.0219,2.0199,2.0185,2.0178
1.0,0.1,50.0,3.333e-05,4.0,1000.0,5.0,3,2.1285,2.093,2.0647,2.0441,2.0301,2.0213,2.0157,2.0118,2.0092,2.0085
1.0,0.1,50.0,3.333e-05,5.0,200.0,5.0,1,5.969,5.8842,5.812,5.7545,5.7116,5.6827,5.6681,5.6699,5.6934,5.7487
1.0,0.1,50.0,3.333e-05,5.0,200.0,5.0,2,2.0532,2.0479,2.0417,2.0358,2.031,2.0284,2.0292,2.0345,2.0458,2.0644
1.0,0.1,50.0,3.333e-05,5.0,200.0,5.0,3,2.1296,2.0873,2.0571,2.0367,2.0239,2.0174,2.0165,2.0223,2.0374,2.0665
1.0,0.1,50.0,3.333e-05,5.0,400.0,5.0,1,5.9682,5.8845,5.8118,5.7539,5.7107,5.6792,5.6558,5.6372,5.6222,5.6134
1.0,0.1,50.0,3.333e-05,5.0,400.0,5.0,2,2.0529,2.0481,2.0417,2.0356,2.0308,2.0274,2.0251,2.0236,2.0227,2.0224
1.0,0.1,50.0,3.333e-05,5.0,400.0,5.0,3,2.1293,2.0874,2.057,2.0365,2.0236,2.0159,2.0112,2.0079,2.0057,2.0056
1.0,0.1,50.0,3.333e-05,5.0,600.0,5.0,1,5.9682,5.8845,5.8118,5.7539,5.7106,5.6791,5.6556,5.6368,5.6215,5.6121
1.0,0.1,50.0,3.333e-05,5.0,600.0,5.0,2,2.0529,2.0481,2.0417,2.0356,2.0308,2.0274,2.0251,2.0235,2.0225,2.022
1.0,0.1,50.0,3.333e-05,5.0,600.0,5.0,3,2.1293,2.0874,2.057,2.0365,2.0236,2.0158,2.0111,2.0078,2.0054,2.0051
1.0,0.1,50.0,3.333e-05,5.0,800.0,5.0,1,5.9682,5.8845,5.8118,5.7539,5.7106,5.6791,5.6556,5.6368,5.6215,5.6121
1.0,0.1,50.0,3.333e-05,5.0,800.0,5.0,2,2.0529,2.0481,2.0417,2.0356,2.0308,2.0274,2.0251,2.0235,2.0224,2.0219
1.0,0.1,50.0,3.333e-05,5.0,800.0,5.0,3,2.1293,2.0874,2.057,2.0365,2.0236,2.0158,2.0111,2.0078,2.0054,2.005
1.0,0.1,50.0,3.333e-05,5.0,1000.0,5.0,1,5.9682,5.8845,5.8118,5.7539,5.7106,5.6791,5.6556,5.6368,5.6215,5.6121
1.0,0.1,50.0,3.333e-05,5.0,1000.0,5.0,2,2.0529,2.0481,2.0417,2.0356,2.0308,2.0274,2.0251,2.0235,2.0224,2.0219
1.0,0.1,50.0,3.333e-05,5.0,1000.0,5.0,3,2.1293,2.0874,2.057,2.0365,2.0236,2.0158,2.0111,2.0078,2.0054,2.005
1.0,0.1,150.0,3.333e-05,1.0,200.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,150.0,3.333e-05,1.0,200.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,150.0,3.333e-05,1.0,200.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,150.0,3.333e-05,1.0,400.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,150.0,3.333e-05,1.0,400.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,150.0,3.333e-05,1.0,400.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,150.0,3.333e-05,1.0,600.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,150.0,3.333e-05,1.0,600.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,150.0,3.333e-05,1.0,600.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,150.0,3.333e-05,1.0,800.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,150.0,3.333e-05,1.0,800.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,150.0,3.333e-05,1.0,800.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,150.0,3.333e-05,1.0,1000.0,5.0,1,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657,5.9657
1.0,0.1,150.0,3.333e-05,1.0,1000.0,5.0,2,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053,2.053
1.0,0.1,150.0,3.333e-05,1.0,1000.0,5.0,3,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276,2.1276
1.0,0.1,150.0,3.333e-05,2.0,200.0,5.0,1,5.9662,5.9525,5.9385,5.9231,5.9093,5.9016,5.9029,5.9124,5.9223,5.9155
1.0,0.1,150.0,3.333e-05,2.0,200.0,5.0,2,2.053,2.0519,2.0506,2.049,2.0477,2.0477,2.0496,2.0533,2.0573,2.0584
1.0,0.1,150.0,3.333e-05,2.0,200.0,5.0,3,2.1277,2.1231,2.1181,2.1127,2.1083,2.1068,2.1095,2.116,2.1229,2.123
1.0,0.1,150.0,3.333e-05,2.0,400.0,5.0,1,5.9662,5.9387,5.9104,5.8802,5.8539,5.8398,5.8438,5.8645,5.8888,5.8868
1.0,0.1,150.0,3.333e-05,2.0,400.0,5.0,2,2.053,2.0506,2.0478,2.0444,2.0416,2.0416,2.0455,2.0531,2.0611,2.0621
1.0,0.1,150.0,3.333e-05,2.0,400.0,5.0,3,2.1277,2.1182,2.1086,2.0983,2.0902,2.0878,2.0937,2.1068,2.1207,2.1211
1.0,0.1,150.0,3.333e-05,2.0,600.0,5.0,1,5.9706,5.9284,5.8951,5.8594,5.8225,5.7928,5.7804,5.791,5.8206,5.85
1.0,0.1,150.0,3.333e-05,2.0,600.0,5.0,2,2.0541,2.0493,2.0463,2.0423,2.0375,2.0342,2.0348,2.0407,2.0505,2.0589
1.0,0.1,150.0,3.333e-05,2.0,600.0,5.0,3,2.1297,2.1144,2.1035,2.0919,2.08,2.0716,2.0708,2.0801,2.0973,2.1131
1.0,0.1,150.0,3.333e-05,2.0,800.0,5.0,1,5.9662,5.9304,5.8938,5.8579,5.8234,5.7911,5.7624,5.74,5.7289,5.7368
1.0,0.1,150.0,3.333e-05,2.0,800.0,5.0,2,2.053,2.0497,2.046,2.042,2.0378,2.0336,2.0298,2.0273,2.0274,2.0324
1.0,0.1,150.0,3.333e-05,2.0,800.0,5.0,3,2.1278,2.1153,2.103,2.0913,2.0805,2.0707,2.0625,2.0569,2.0561,2.0634
1.0,0.1,150.0,3.333e-05,2.0,1000.0,5.0,1,5.9663,5.9303,5.8938,5.8579,5.8233,5.7907,5.7606,5.734,5.7119,5.6959
1.0,0.1,150.0,3.333e-05,2.0,1000.0,5.0,2,2.0531,2.0498,2.0461,2.0421,2.0379,2.0336,2.0294,2.0256,2.0226,2.0208
1.0,0.1,150.0,3.333e-05,2.0,1000.0,5.0,3,2.1278,2.1152,2.103,2.0913,2.0804,2.0705,2.0616,2.0541,2.0484,2.045
1.0,0.1,150.0,3.333e-05,3.0,200.0,5.0,1,5.9673,5.944,5.922,5.898,5.8756,5.8616,5.8616,5.876,5.896,5.8994
1.0,0.1,150.0,3.333e-05,3.0,200.0,5.0,2,2.0533,2.0513,2.0496,2.0471,2.045,2.0446,2.0474,2.0537,2.0614,2.0655
