time,strain,stress,g1_phi_1,g1_Phi,g1_phi_2,g2_phi_1,g2_Phi,g2_phi_2,g3_phi_1,g3_Phi,g3_phi_2,g4_phi_1,g4_Phi,g4_phi_2,g5_phi_1,g5_Phi,g5_phi_2,g6_phi_1,g6_Phi,g6_phi_2,g7_phi_1,g7_Phi,g7_phi_2,g8_phi_1,g8_Phi,g8_phi_2,g9_phi_1,g9_Phi,g9_phi_2,g10_phi_1,g10_Phi,g10_phi_2,g11_phi_1,g11_Phi,g11_phi_2,g12_phi_1,g12_Phi,g12_phi_2,g13_phi_1,g13_Phi,g13_phi_2,g14_phi_1,g14_Phi,g14_phi_2,g15_phi_1,g15_Phi,g15_phi_2,g16_phi_1,g16_Phi,g16_phi_2,g17_phi_1,g17_Phi,g17_phi_2,g18_phi_1,g18_Phi,g18_phi_2,g19_phi_1,g19_Phi,g19_phi_2,g20_phi_1,g20_Phi,g20_phi_2,g21_phi_1,g21_Phi,g21_phi_2,g22_phi_1,g22_Phi,g22_phi_2,temperature,type,medium,strain_rate,youngs,poissons
926.55,0.009950330853168092,499.6950457,5.295467470762783,1.4928618625551406,0.9720462667655663,4.1264237862135555,0.5734732543722771,1.6671378977120037,5.593695574388347,1.4022446662651105,1.0802322107776947,5.845631969774669,0.3333792033219287,0.9881903927981459,5.61666203961401,1.255683842180753,0.6183609038394751,5.733757665702731,0.6284000755744417,6.22226698583175,6.143044455810304,0.25750747532049306,0.5287731839531937,4.3121260528663745,0.3709752713838483,1.9486926146574175,5.682103611109908,0.36875764258918786,0.8014276284725604,5.609865749782375,0.4651105876472133,1.0314312677096178,3.8242086212963273,0.4312622551991913,1.951667645345412,5.426889297098939,1.303038295109753,1.2002917544190708,5.345407770309091,1.2557119188814452,1.025100237080733,4.730441797978285,1.0490954150257457,0.5604699550991482,4.623318364233539,1.2163715800133268,1.9462372188394745,5.2081978106702325,1.4596730400203464,1.150716165654493,4.5126083814702165,0.3516864574632947,1.993911531822133,5.551709525229346,1.4094003567421711,0.21361699962091937,5.615825909881617,1.3857103383981237,1.0542577760081837,5.615581813942376,0.7442139286005749,1.0486565537485595,4.713760508116475,1.1413325219328123,0.6898551128415498,4.509850744907786,1.2383228705701188,0.6936978504117984,,,,,,
942.85,0.010939940038334263,522.2306851499999,5.295265415994781,1.4928303963647471,0.9721264124256908,4.126041705700331,0.5735843844689673,1.6674343799511075,5.593660812827599,1.4018854693876213,1.0805665209259063,5.844911506840438,0.3331734025204497,0.9887440908382215,5.616398403314835,1.2555269715881516,0.6185544158328409,5.733389163984797,0.628332387204866,6.222412429054446,6.142598483968483,0.2571740703415919,0.5291296447209909,4.3118111643039105,0.3711358023533639,1.9488636117277474,5.681459228859795,0.36856182603994647,0.8019255001727097,5.609270679841268,0.46492649490691734,1.031884803780557,3.823707546789909,0.4314684591407305,1.9519963307793622,5.4269672825518365,1.303099624241224,1.200543255588252,5.3455159604453035,1.255339614632532,1.025662888883958,4.730175915498269,1.0490996067915273,0.5608479509119492,4.623025413164584,1.2164364275174115,1.9465178513737564,5.207996370327941,1.459659031305877,1.1508693847505893,4.511746166289257,0.35171759514323925,1.9947101855238158,5.551559044166896,1.4091828603716392,0.21377939552998756,5.615676564698153,1.3854736889172397,1.0544949764718736,5.615233002143175,0.7440476225531328,1.0489385330408407,4.713431462133494,1.1413177873097853,0.6901444673680801,4.509547682836978,1.2383862082512027,0.6939292251417878,,,,,,
955.5,0.011928570865273812,522.32924744,5.295063560984369,1.492798961282802,0.9722064788513388,4.125660002923711,0.5736954046990091,1.6677305690787068,5.593626085633205,1.4015266276232672,1.0809005005647727,5.844191756178131,0.33296780518000374,0.9892972414753012,5.6161350276546536,1.2553702560826667,0.618747736514269,5.733021026579051,0.6282647657541046,6.222557728487478,6.142152953028208,0.25684099497715757,0.5294857530806557,4.311496587050012,0.3712961746170015,1.9490344397450883,5.680815483665892,0.3683662030809978,0.8024228796615085,5.608676198204697,0.4647425841663942,1.0323378914717194,3.8232069676612355,0.43167445922268005,1.9523246912647336,5.427045190905907,1.3031608927408203,1.2007945081156037,5.345624043621404,1.2549676784551058,1.0262249844322207,4.729910295877891,1.0491037944131996,0.5612255730264065,4.622732751716111,1.2165012109112499,1.9467982064660418,5.207795129135798,1.459645036440856,1.151022452369552,4.510884803520873,0.35174870203951103,1.9955080496517645,5.551408711874677,1.4089655790247417,0.2139416308894409,5.615527367161953,1.3852372733953466,1.054731942431854,5.6148845351901,0.7438814809209892,1.0492202335596785,4.713102741455542,1.1413030672538622,0.6904335358297822,4.509244920382699,1.2384494833146977,0.6941603711275677,,,,,,
975.55,0.01291622526654623,529.84660087,5.294861905336962,1.4927675572478567,0.9722864661990226,4.1252786771375485,0.5738063152794232,1.668026465673786,5.59359139273728,1.4011681402705902,1.081234150347152,5.843472716380793,0.3327624108986925,0.9898498457906749,5.6158719121186245,1.255213695357953,0.6189408662616597,5.732653252765862,0.628197211089972,6.2227028844148755,6.141707862118563,0.2565082485760997,0.5298415097283032,4.311182320489747,0.37145638848825413,1.9492050990433722,5.680172374269814,0.3681707733299413,0.8029197679112258,5.608082303710578,0.4645588550661382,1.0327905316687924,3.822706882931781,0.43188025584772527,1.9526527274433998,5.427123022313442,1.303222100728308,1.201045512492271,5.34573202004867,1.2545961096221125,1.0267865248242956,4.729644938597922,1.0491079778989485,0.5616028221806904,4.6224403793160285,1.2165659303214786,1.9470782846643633,5.2075940867004205,1.459631055397926,1.1511753688105948,4.510024291481288,0.35177977821291734,1.9963051257656317,5.55125852805882,1.40874851227674,0.21410370601641432,5.61537831698137,1.3850010913703035,1.054968674351342,5.614536412401973,0.7437155033793732,1.0495016558557362,4.7127743454400415,1.141288361736268,0.6907223187917224,4.508942456953115,1.2385126958842925,0.6943912888209789,,,,,,
976.35,0.013902905168991434,524.65984428,5.294660448659145,1.4927361841986437,0.9723663746247916,4.124897727597907,0.5739171164265878,1.6683220703136186,5.593556734072141,1.4008100066302078,1.0815674709239702,5.842754386045629,0.33255721927580717,0.9904019048624325,5.615609056193426,1.2550572891085725,0.6191338054517946,5.732285841827734,0.6281297230806743,6.222847897119822,6.14126321037121,0.25617583048925496,0.5301969153579879,4.310868364010007,0.3716164442796871,1.949375589955543,5.679529899416905,0.36797553640550823,0.8034161658912536,5.607488995200269,0.4643753072477076,1.033242725254844,3.8222072916259195,0.43208584941736006,1.9529804399553352,5.427200776926284,1.3032832483231,1.2012962692079439,5.345839889937759,1.2542249074086487,1.0273475111557064,4.729379843140668,1.0491121572569357,0.561979699110785,4.622148295393941,1.216630585874361,1.9473580865151336,5.207393242629589,1.459617088149811,1.151328134372046,4.509164628491707,0.3518108237240854,1.9971014154204527,5.5511084924263265,1.4085316597041537,0.2142656212271043,5.615229413865615,1.3847651423813367,1.0552051726921834,5.614188633099633,0.7435496896044752,1.0497828004780476,4.712446273446314,1.1412736707283135,0.6910108168172948,4.508640291958143,1.2385758460833103,0.6946219786725243,,,,,,
1002.6,0.014888612493750559,545.6843507499999,5.294459190558669,1.492704842074078,0.9724462042842337,4.124517153563047,0.5740278083562412,1.6686173835737688,5.593522109570306,1.4004522260048067,1.0819004629442275,5.842036763773995,0.33235222991182395,0.9909534197654754,5.61534645936726,1.2549010370299902,0.6193265544603412,5.731918793049288,0.6280623015948071,6.222992766884673,6.140818996920374,0.2558437400693799,0.5305519706617114,4.310554716999494,0.3717763423029412,1.9495459128135593,5.678888057856215,0.36778049192755713,0.8039120745681168,5.606896271518551,0.4641919403537208,1.0336944731103292,3.821708192770907,0.4322912403318909,1.953307829438621,5.427278454895829,1.303344335644255,1.2015467787508656,5.345947653498697,1.2538540710919555,1.0279079445187365,4.72911500898997,1.049116332495299,0.5623562045504992,4.6218564993811375,1.2166951776957862,1.9476376125631472,5.207192596532247,1.4596031346693161,1.1514807493513521,4.508305812878301,0.3518418386334632,1.9978969201666648,5.550958604685067,1.408315020884754,0.21442737683677215,5.615080657524763,1.3845294259690355,1.0554414379148596,5.613841196605924,0.7433840392734428,1.0500636679740234,4.712118524835582,1.1412589942013946,0.6912990304682274,4.508338424809443,1.2386389340347095,0.6948524411313748,,,,,,
1012.6,0.015873349156290163,557.85294576,5.294258130644438,1.4926735308132537,0.972525955332477,4.124136954293422,0.5741383912834844,1.6689124060281009,5.593487519164489,1.400094797699133,1.0822331270550074,5.84131984817138,0.3321474424083991,0.9915043915715293,5.615084121129838,1.2547449388185705,0.6195191136618571,5.73155210571726,0.6279949465013542,6.223137493990943,6.140375220902846,0.25551197667114295,0.5309066763294322,4.3102413788487155,0.37193608286873686,1.9497160679483991,5.678246848340492,0.3675856395170699,0.8044074949054851,5.60630413151362,0.4640087540278517,1.0341457761131034,3.821209585396875,0.4324964289904419,1.9536348965294537,5.427356056373024,1.3034053628104803,1.2017970416078363,5.346055310940898,1.2534835999514087,1.0284678260024425,4.728850435631191,1.0491205036221516,0.5627323392314733,4.62156499071059,1.2167597059112714,1.947916863351591,5.206992148018487,1.4595891949293258,1.1516332140450807,4.507447842972184,0.3518728230013203,1.9986916415501248,5.550808864543773,1.4080985953975593,0.21458897315974795,5.614932047669747,1.384293941675346,1.0556774704784897,5.613494102245698,0.7432185520643778,1.050344258889456,4.711791098970949,1.1412443321269912,0.6915869603045881,4.508036854920416,1.2387019598610844,0.6950826766453746,,,,,,
1015.55,0.016857117066422806,561.2093505899999,5.2940572685265135,1.4926422503554455,0.9726056279241918,4.123757129051668,0.5742488654227834,1.6692071382487865,5.593452962787606,1.399737721019985,1.082565463901484,5.840603637847385,0.3319428563683649,0.9920548213491571,5.614822040972376,1.2545889941715744,0.6197114834297943,5.731185779120491,0.6279276576696863,6.223282078719319,6.13993188145796,0.2551805396511174,0.5312610330490711,4.30992834894998,0.37209566628687735,1.9498860556900641,5.677606269626166,0.3673909787961468,0.8049024278641842,5.605712574037073,0.4638257479148262,1.0345966351384295,3.820711468536817,0.43270141579095855,1.9539616418621515,5.427433581508369,1.303466329940133,1.2020470582642193,5.346162862473153,1.253113493268511,1.0290271566926665,4.728586122551214,1.049124670645583,0.5631081038831883,4.62127376881694,1.216824170645964,1.9481958394220482,5.20679189669956,1.4595752689028063,1.1517855287489243,4.506590717109396,0.351903776887748,1.9994855811121264,5.550659271712037,1.4078823828228313,0.21475041050943397,5.614783584012349,1.3840586890435667,1.0559132708408394,5.613147349345793,0.7430532276563316,1.0506245737685278,4.711463995217399,1.1412296844766667,0.6918746068847926,4.507735581706194,1.2387649236846694,0.6953126856610454,,,,,,
1033.55,0.017839918128331016,573.70235958,5.293856603816109,1.4926110006401068,0.9726852222135928,4.123377677102596,0.5743592309879725,1.6695015808063094,5.593418440372769,1.3993809952762049,1.0828974741269284,5.839888131415714,0.3317384713957242,0.9926047101637716,5.614560218387592,1.2544332027871556,0.6199036641365043,5.73081981254992,0.6278604349695588,6.223426521349659,6.139488977727586,0.25484942836777325,0.5316150415065218,4.309615626697386,0.37225509286625225,1.9500558763675826,5.67696632047333,0.36719650938800236,0.805396874402207,5.605121597943886,0.4636429216604174,1.035047051058991,3.820213841226578,0.4329062011302139,1.9542880660691642,5.427511030451923,1.3035272371512212,1.202296829203947,5.34627030830364,1.2527437503268835,1.0295859376720504,4.728322069238432,1.049128833573659,0.5634834992329749,4.6209828331365,1.2168885720246414,1.9484745413145053,5.206591842187857,1.4595613565628007,1.151937693757703,4.5057344336308836,0.3519347003526608,2.0002787403894216,5.550509825900308,1.4076663827420681,0.21491168919830853,5.614635266265204,1.3838236676183424,1.0561488394583238,5.6128009372350345,0.7428880657293024,1.0509046131538164,4.711137212941792,1.1412150512220702,0.6921619707656099,4.507434604583628,1.2388278256273364,0.6955424686235934,,,,,,
1043.05,0.018821754240587667,583.8619224099999,5.29365613612558,1.4925797816068698,0.9727647383544396,4.1229985977131784,0.5744694881922553,1.6697957342694727,5.59338395185329,1.3990246197786702,1.0832291583727178,5.8391733274941515,0.3315342870956466,0.9931540590776465,5.614298652869697,1.2542775643643562,0.6200956561532409,5.730454205298573,0.6277932782711112,6.2235708221609976,6.139046508856122,0.2545186421814704,0.5319687023856569,4.309303211486817,0.37241436291484165,1.950225530309014,5.676326999645735,0.36700223091696077,0.8058908354747237,5.604531202092418,0.4634602749114418,1.035497024744901,3.819716702504841,0.4331107854038116,1.954614169781076,5.4275884033533,1.303588084561405,1.2025463549095265,5.346377648639922,1.2523743704122574,1.0301441700200455,4.72805827518275,1.049132992414422,0.563858526006021,4.620692183107241,1.2169529101717147,1.9487529695673573,5.206391984096914,1.4595474578824343,1.1520897093653688,4.5048789908824824,0.3519655934557966,2.0010711209142324,5.550360526819886,1.4074505947380018,0.2150728095379294,5.61448709414179,1.383588876945659,1.0563841767860143,5.612454865244222,0.7427230659642307,1.051184377586302,4.710810751512851,1.1412004323349323,0.6924490525021689,4.5071339229712954,1.2388906658105998,0.6957720259769126,,,,,,
