tau_sat,b,tau_0,gamma_0,n,strain,stress,grain_id,0p2_phi_1,0p2_Phi,0p2_phi_2,0p4_phi_1,0p4_Phi,0p4_phi_2,0p6_phi_1,0p6_Phi,0p6_phi_2,0p8_phi_1,0p8_Phi,0p8_phi_2,1p0_phi_1,1p0_Phi,1p0_phi_2
,,,,,0.188,986.43,95,5.5084,2.1028,5.1265,5.5091,2.1027,5.1272,5.5097,2.1027,5.1279,5.5104,2.1026,5.1286,5.5111,2.1025,5.1293
,,,,,0.19,988.46,96,2.7695,2.8825,2.9564,2.7655,2.8824,2.9564,2.7618,2.8825,2.9565,2.7583,2.8826,2.9567,2.7551,2.8827,2.957
,,,,,0.192,990.46,97,4.5346,1.9938,4.7434,4.533,1.9943,4.7411,4.5314,1.9949,4.7388,4.5299,1.9954,4.7364,4.5285,1.996,4.7342
,,,,,0.194,992.43,98,5.0013,2.3674,4.8745,5.002,2.3671,4.8751,5.0027,2.3669,4.8758,5.0034,2.3667,4.8765,5.0041,2.3664,4.8772
,,,,,0.196,994.36,99,3.2571,2.9246,2.2942,3.2678,2.9281,2.3053,3.2785,2.9313,2.3165,3.2892,2.9344,2.3278,3.2995,2.9373,2.3386
,,,,,0.2,998.14,100,0.47783,2.4874,6.0849,0.48173,2.4873,6.0891,0.48562,2.4873,6.0933,0.48948,2.4873,6.0974,0.4931,2.4872,6.1013
,,,,,,,101,2.7514,2.8861,2.9375,2.7475,2.886,2.9375,2.7438,2.8861,2.9376,2.7403,2.8862,2.9378,2.7371,2.8863,2.938
,,,,,,,102,0.47484,2.4889,6.0805,0.47882,2.4888,6.0848,0.48279,2.4887,6.0891,0.48672,2.4887,6.0934,0.49041,2.4887,6.0973
,,,,,,,103,5.5438,2.5447,5.0605,5.5414,2.5444,5.0641,5.5387,2.5438,5.0675,5.5359,2.5431,5.0708,5.5331,2.5424,5.0739
,,,,,,,104,4.8385,2.0847,4.5568,4.8405,2.0845,4.5602,4.8425,2.0844,4.5636,4.8445,2.0844,4.5669,4.8465,2.0843,4.5701
,,,,,,,105,0.32802,2.5795,5.817,0.3368,2.581,5.8273,0.34535,2.5825,5.8373,0.35382,2.584,5.8472,0.36182,2.5854,5.8565
,,,,,,,106,5.2357,2.1197,5.3211,5.2378,2.1218,5.3173,5.2399,2.124,5.3133,5.2421,2.1263,5.3093,5.2442,2.1284,5.3055
,,,,,,,107,0.19414,2.8136,0.11233,0.199,2.8134,0.11615,0.20381,2.8131,0.11992,0.20872,2.8129,0.12372,0.21348,2.8126,0.12739
,,,,,,,108,4.8557,2.1511,4.4911,4.8582,2.1495,4.4966,4.8609,2.1482,4.5021,4.8635,2.147,4.5075,4.866,2.1459,4.5125
,,,,,,,109,5.2511,2.5457,4.294,5.2512,2.5461,4.2909,5.2516,2.5464,4.2877,5.2519,2.5466,4.2846,5.2523,2.5468,4.2815
,,,,,,,110,2.7791,2.883,2.963,2.7751,2.8829,2.9629,2.7713,2.883,2.963,2.7677,2.883,2.9632,2.7644,2.8831,2.9634
,,,,,,,111,5.0094,2.5005,5.0506,5.012,2.5004,5.0499,5.0143,2.5003,5.0491,5.0167,2.5001,5.0484,5.0188,2.4999,5.0477
,,,,,,,112,5.5385,2.5456,5.0517,5.5362,2.5454,5.0554,5.5336,2.5448,5.0589,5.5309,2.5441,5.0623,5.5282,2.5434,5.0655
,,,,,,,113,5.8271,2.9966,5.5467,5.8309,2.9967,5.5476,5.8357,2.9968,5.5497,5.8411,2.9969,5.5524,5.8467,2.9969,5.5555
,,,,,,,114,5.9488,2.4321,5.902,5.9443,2.4308,5.897,5.9401,2.4295,5.8922,5.9361,2.4281,5.8877,5.9324,2.4268,5.8835
,,,,,,,115,5.999,2.1088,4.8237,5.9967,2.1064,4.8193,5.9942,2.1042,4.8148,5.9917,2.1022,4.8103,5.9893,2.1003,4.806
,,,,,,,116,0.33644,2.579,5.8257,0.34515,2.5805,5.836,0.3536,2.582,5.8458,0.36199,2.5834,5.8556,0.36989,2.5847,5.8648
,,,,,,,117,5.4914,2.1649,4.3123,5.491,2.1629,4.3096,5.4906,2.1611,4.3071,5.4902,2.1592,4.3046,5.4898,2.1576,4.3023
,,,,,,,118,5.0077,1.9199,4.632,5.0086,1.9213,4.6328,5.0098,1.9226,4.6338,5.0111,1.9239,4.6348,5.0123,1.9251,4.6358
,,,,,,,119,5.0033,2.4998,5.0421,5.0057,2.4996,5.0414,5.008,2.4995,5.0406,5.0103,2.4993,5.0399,5.0124,2.4991,5.0392
,,,,,,,120,0.33535,2.5816,5.8248,0.3441,2.5832,5.8351,0.35259,2.5846,5.845,0.36101,2.5861,5.8548,0.36895,2.5874,5.864
,,,,,,,121,5.4913,2.1604,4.3112,5.4909,2.1584,4.3086,5.4904,2.1566,4.3062,5.49,2.1548,4.3037,5.4896,2.1532,4.3015
,,,,,,,122,5.8915,2.5749,5.8334,5.8852,2.5733,5.8268,5.8795,2.5716,5.8207,5.874,2.57,5.815,5.8691,2.5684,5.8098
,,,,,,,123,4.2522,2.548,3.2045,4.2489,2.5477,3.2017,4.2457,2.5475,3.1989,4.2426,2.5473,3.1963,4.2396,2.5471,3.1938
,,,,,,,124,3.4833,2.867,3.6173,3.4875,2.8666,3.6238,3.4917,2.8663,3.63,3.4959,2.866,3.6362,3.4999,2.8657,3.6421
,,,,,,,125,5.8295,2.9965,5.5472,5.8335,2.9965,5.5483,5.8384,2.9966,5.5506,5.844,2.9967,5.5535,5.8498,2.9968,5.5567
,,,,,,,126,4.9201,2.1837,4.5951,4.9224,2.1827,4.6,4.9246,2.1818,4.6048,4.9268,2.181,4.6095,4.9289,2.1802,4.6139
,,,,,,,127,4.5862,2.4629,4.8221,4.588,2.4629,4.8178,4.5896,2.4629,4.8135,4.5912,2.4629,4.8093,4.5928,2.4628,4.8054
,,,,,,,128,6.1731,2.2462,4.7855,6.1719,2.2458,4.7803,6.1708,2.2455,4.7754,6.1698,2.2452,4.7706,6.1688,2.245,4.7662
,,,,,,,129,4.5336,1.9933,4.7367,4.532,1.9939,4.7344,4.5305,1.9945,4.7321,4.5291,1.9951,4.7299,4.5277,1.9957,4.7277
,,,,,,,130,5.333,2.6366,4.6849,5.333,2.6385,4.6874,5.3329,2.6403,4.6898,5.3329,2.6421,4.6923,5.3328,2.6438,4.6947
,,,,,,,131,5.0636,2.4691,4.9602,5.0642,2.4685,4.9605,5.0648,2.4679,4.9609,5.0654,2.4673,4.9613,5.0659,2.4667,4.9616
,,,,,,,132,4.7646,2.4368,3.9313,4.7638,2.4374,3.9279,4.7631,2.4379,3.9245,4.7624,2.4385,3.9211,4.7618,2.439,3.9179
,,,,,,,133,4.9306,2.1861,4.6059,4.9329,2.1851,4.6108,4.9351,2.1842,4.6155,4.9372,2.1834,4.6201,4.9392,2.1826,4.6244
,,,,,,,134,3.7949,2.6832,2.7458,3.8007,2.6855,2.7525,3.8062,2.6876,2.7589,3.8115,2.6897,2.7653,3.8165,2.6915,2.7713
,,,,,,,135,3.8464,2.6031,2.8827,3.8507,2.6044,2.888,3.8548,2.6056,2.893,3.8587,2.6068,2.898,3.8624,2.6078,2.9026
,,,,,,,136,2.7854,2.8816,2.9712,2.7814,2.8815,2.9712,2.7777,2.8816,2.9713,2.7741,2.8816,2.9715,2.7709,2.8817,2.9718
,,,,,,,137,1.0428,2.8813,0.90165,1.048,2.8788,0.90606,1.0524,2.8762,0.90981,1.0564,2.8736,0.91318,1.0599,2.8712,0.91614
,,,,,,,138,4.2618,2.5089,3.4647,4.2541,2.5104,3.4551,4.2465,2.5119,3.4458,4.239,2.5133,3.4367,4.232,2.5146,3.4281
,,,,,,,139,0.47222,2.4971,6.0772,0.47629,2.497,6.0817,0.48035,2.4969,6.086,0.48437,2.4969,6.0904,0.48814,2.4969,6.0944
,,,,,,,140,0.47066,2.4932,6.0716,0.47481,2.493,6.0762,0.47894,2.493,6.0807,0.48303,2.493,6.0851,0.48687,2.493,6.0893
,,,,,,,141,0.043403,2.4034,5.0852,0.044599,2.4043,5.0814,0.045805,2.4051,5.0774,0.047051,2.406,5.0733,0.048273,2.4068,5.0692
,,,,,,,142,2.7529,2.9188,1.7773,2.7539,2.9243,1.7782,2.7555,2.9295,1.7798,2.757,2.9345,1.7814,2.7585,2.9393,1.783
,,,,,,,143,3.7903,2.6784,2.7436,3.7962,2.6808,2.7504,3.8017,2.6829,2.7569,3.8072,2.685,2.7633,3.8123,2.6869,2.7694
,,,,,,,144,4.9254,2.1804,4.5991,4.9277,2.1794,4.604,4.9299,2.1785,4.6087,4.9321,2.1777,4.6133,4.9341,2.1769,4.6176
,,,,,,,145,3.7989,3.0163,3.226,3.7953,3.0164,3.2213,3.7915,3.0166,3.2164,3.7875,3.0167,3.2114,3.7839,3.0167,3.2068
,,,,,,,146,5.057,2.47,4.9535,5.0576,2.4694,4.9538,5.0581,2.4688,4.9542,5.0587,2.4682,4.9546,5.0593,2.4677,4.955
,,,,,,,147,2.7932,2.8808,2.9789,2.7892,2.8808,2.9788,2.7854,2.8808,2.9789,2.7818,2.8809,2.9792,2.7786,2.881,2.9794
,,,,,,,148,5.5438,2.5372,5.053,5.5416,2.5369,5.0567,5.5391,2.5361,5.0602,5.5364,2.5353,5.0637,5.5338,2.5345,5.0668
,,,,,,,149,4.4674,2.5525,3.7073,4.4602,2.5552,3.6985,4.4527,2.558,3.6895,4.445,2.5607,3.6801,4.4374,2.5633,3.6711
,,,,,,,150,5.9967,2.1058,4.8206,5.9944,2.1034,4.8164,5.9919,2.1013,4.8119,5.9894,2.0993,4.8075,5.9871,2.0975,4.8033
,,,,,,,151,0.47711,2.4936,6.0802,0.48112,2.4935,6.0845,0.48512,2.4935,6.0888,0.48908,2.4935,6.0931,0.4928,2.4935,6.0971
,,,,,,,152,4.2618,2.5095,3.4674,4.2541,2.5111,3.4578,4.2465,2.5126,3.4485,4.2389,2.5141,3.4393,4.2319,2.5154,3.4307
,,,,,,,153,4.3662,2.4565,4.1431,4.3623,2.4575,4.1449,4.3588,2.4584,4.1469,4.3554,2.4591,4.1489,4.3522,2.4599,4.1508
,,,,,,,154,4.7859,2.6052,4.4713,4.7822,2.6059,4.4729,4.7787,2.6063,4.4748,4.7754,2.6067,4.4766,4.7722,2.6069,4.4783
,,,,,,,155,2.7846,2.8745,2.9694,2.7805,2.8745,2.9693,2.7767,2.8745,2.9693,2.7731,2.8746,2.9695,2.7698,2.8747,2.9697
,,,,,,,156,4.96,1.831,4.0466,4.9599,1.8297,4.0458,4.9598,1.8284,4.0451,4.9597,1.8272,4.0444,4.9596,1.8261,4.0437
