tau_sat,b,tau_0,gamma_0,n,g1_phi_1_start,g1_phi_1_end,g1_Phi_start,g1_Phi_end,g1_phi_2_start,g1_phi_2_end,g2_phi_1_start,g2_phi_1_end,g2_Phi_start,g2_Phi_end,g2_phi_2_start,g2_phi_2_end,g3_phi_1_start,g3_phi_1_end,g3_Phi_start,g3_Phi_end,g3_phi_2_start,g3_phi_2_end,g4_phi_1_start,g4_phi_1_end,g4_Phi_start,g4_Phi_end,g4_phi_2_start,g4_phi_2_end,g5_phi_1_start,g5_phi_1_end,g5_Phi_start,g5_Phi_end,g5_phi_2_start,g5_phi_2_end
100.0,0.8,100.0,3.333e-05,2.0,5.2975,5.287,1.4932,1.5073,0.97124,1.0863,4.1303,4.1831,0.57236,0.55685,1.6642,1.7464,5.594,5.6007,1.4059,1.3439,1.0769,1.0827,5.8529,6.123,0.33545,0.26431,0.98262,0.70082,5.6193,5.7214,1.2573,1.2024,0.61642,0.64166
100.0,0.8,200.0,3.333e-05,2.0,5.2975,5.2872,1.4932,1.5073,0.97124,1.086,4.1303,4.1829,0.57236,0.55678,1.6642,1.7462,5.594,5.6006,1.4059,1.344,1.0769,1.0826,5.8529,6.1226,0.33545,0.26434,0.98262,0.70126,5.6193,5.7212,1.2573,1.2024,0.61642,0.64168
100.0,0.8,400.0,3.333e-05,2.0,5.2975,5.2873,1.4932,1.5074,0.97124,1.0855,4.1303,4.1826,0.57236,0.55665,1.6642,1.7461,5.594,5.6006,1.4059,1.3442,1.0769,1.0824,5.8529,6.1216,0.33545,0.26447,0.98262,0.70224,5.6193,5.721,1.2573,1.2024,0.61642,0.64155
100.0,0.8,800.0,3.333e-05,2.0,5.2975,5.2874,1.4932,1.5075,0.97124,1.0845,4.1303,4.1819,0.57236,0.55641,1.6642,1.7458,5.594,5.6007,1.4059,1.3445,1.0769,1.0822,5.8529,6.1195,0.33545,0.26479,0.98262,0.7043,5.6193,5.7205,1.2573,1.2026,0.61642,0.64117
100.0,1.6,50.0,3.333e-05,2.0,5.2975,5.287,1.4932,1.5072,0.97124,1.0864,4.1303,4.1831,0.57236,0.55689,1.6642,1.7465,5.594,5.6007,1.4059,1.3439,1.0769,1.0827,5.8529,6.1232,0.33545,0.26432,0.98262,0.70063,5.6193,5.7214,1.2573,1.2024,0.61642,0.64159
100.0,1.6,100.0,3.333e-05,2.0,5.2975,5.2871,1.4932,1.5073,0.97124,1.0862,4.1303,4.183,0.57236,0.55685,1.6642,1.7463,5.594,5.6007,1.4059,1.344,1.0769,1.0827,5.8529,6.123,0.33545,0.26431,0.98262,0.70084,5.6193,5.7213,1.2573,1.2023,0.61642,0.64167
100.0,1.6,200.0,3.333e-05,2.0,5.2975,5.2872,1.4932,1.5073,0.97124,1.0859,4.1303,4.1829,0.57236,0.55677,1.6642,1.7462,5.594,5.6006,1.4059,1.344,1.0769,1.0825,5.8529,6.1225,0.33545,0.26435,0.98262,0.7013,5.6193,5.7212,1.2573,1.2024,0.61642,0.64167
100.0,1.6,400.0,3.333e-05,2.0,5.2975,5.2873,1.4932,1.5074,0.97124,1.0854,4.1303,4.1826,0.57236,0.55664,1.6642,1.746,5.594,5.6006,1.4059,1.3442,1.0769,1.0824,5.8529,6.1215,0.33545,0.26448,0.98262,0.7023,5.6193,5.721,1.2573,1.2024,0.61642,0.64153
100.0,1.6,800.0,3.333e-05,2.0,5.2975,5.2874,1.4932,1.5076,0.97124,1.0844,4.1303,4.1819,0.57236,0.5564,1.6642,1.7458,5.594,5.6007,1.4059,1.3445,1.0769,1.0822,5.8529,6.1194,0.33545,0.2648,0.98262,0.70436,5.6193,5.7205,1.2573,1.2026,0.61642,0.64115
100.0,3.2,50.0,3.333e-05,2.0,5.2975,5.2871,1.4932,1.5073,0.97124,1.0863,4.1303,4.1831,0.57236,0.55688,1.6642,1.7463,5.594,5.6006,1.4059,1.3439,1.0769,1.0826,5.8529,6.1232,0.33545,0.26424,0.98262,0.70058,5.6193,5.7214,1.2573,1.2023,0.61642,0.64172
